# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __x64_sys_openat() {
 0)   0.250 us    |              __mutex_init();
 0) + 28.654 us   |            }
 0) + 29.626 us   |          }
 0)               |          path_init() {
 0)               |            nd_jump_root() {
 0)   0.601 us    |              set_root();
 0)   1.193 us    |            }
 0)   1.823 us    |          }
 0)               |          link_path_walk.part.0.constprop.0() {
 0)               |            inode_permission() {
 0)               |              ovl_permission [overlay]() {
 0)   0.431 us    |                ovl_inode_upper [overlay]();
 0)   0.351 us    |                generic_permission();
 0)               |                ovl_override_creds [overlay]() {
 0)   0.501 us    |                  override_creds();
 0)   1.673 us    |                }
 0)               |                inode_permission() {
 0)   0.461 us    |                  generic_permission();
 0)   0.360 us    |                  security_inode_permission();
 0)   2.074 us    |                }
 0)   0.241 us    |                revert_creds();
 0)   6.402 us    |              }
 0)   0.240 us    |              security_inode_permission();
 0)   7.945 us    |            }
 0)               |            walk_component() {
 0)               |              lookup_fast() {
 0)   0.441 us    |                __d_lookup_rcu();
 0)   1.022 us    |              }
 0)   0.340 us    |              step_into();
 0)   6.252 us    |            }
 0)               |            inode_permission() {
 0)               |              ovl_permission [overlay]() {
 0)   0.351 us    |                ovl_inode_upper [overlay]();
 0)   0.360 us    |                ovl_inode_lower [overlay]();
 0)   0.251 us    |                generic_permission();
 0)               |                ovl_override_creds [overlay]() {
 0)   0.241 us    |                  override_creds();
 0)   0.712 us    |                }
 0)               |                inode_permission() {
 0)   0.250 us    |                  generic_permission();
 0)   0.270 us    |                  security_inode_permission();
 0)   1.222 us    |                }
 0)   0.251 us    |                revert_creds();
 0)   4.899 us    |              }
 0)   0.241 us    |              security_inode_permission();
 0)   5.971 us    |            }
 0) + 21.551 us   |          }
 0)               |          open_last_lookups() {
 0)               |            try_to_unlazy() {
 0)   0.250 us    |              legitimize_links();
 0)               |              __legitimize_path() {
 0)   0.501 us    |                __legitimize_mnt();
 0)   1.132 us    |              }
 0)               |              legitimize_root() {
 0)               |                __legitimize_path() {
 0)   0.251 us    |                  __legitimize_mnt();
 0)   0.721 us    |                }
 0)   1.203 us    |              }
 0)   0.251 us    |              rcu_read_unlock_strict();
 0)   4.218 us    |            }
 0)               |            mnt_want_write() {
 0)               |              __cond_resched() {
 0)   0.241 us    |                rcu_all_qs();
 0)   0.721 us    |              }
 0)   0.420 us    |              __mnt_want_write();
 0)   2.475 us    |            }
 0)               |            down_write() {
 0)               |              __cond_resched() {
 0)   0.300 us    |                rcu_all_qs();
 0)   0.922 us    |              }
 0)   1.483 us    |            }
 0)               |            lookup_open.isra.0() {
 0)               |              d_lookup() {
 0)               |                __d_lookup() {
 0)   0.251 us    |                  _raw_spin_lock();
 0)   0.641 us    |                  rcu_read_unlock_strict();
 0)   1.874 us    |                }
 0)   2.364 us    |              }
 0)   0.261 us    |              mode_strip_sgid();
 0)               |              security_path_mknod() {
 0)   0.351 us    |                hook_path_mknod();
 0)               |                apparmor_path_mknod() {
 0)               |                  aa_path_perm() {
 0)               |                    aa_get_buffer() {
 0)   0.331 us    |                      _raw_spin_lock();
 0)   1.273 us    |                    }
 0)   0.341 us    |                    aa_label_next_confined();
 0)               |                    path_name() {
 0)               |                      aa_path_name() {
 0)               |                        d_namespace_path.constprop.0() {
 0)               |                          d_absolute_path() {
 0)               |                            prepend_path() {
 0)               |                              prepend() {
 0)               |                                prepend_copy() {
 0)               |                                  copy_from_kernel_nofault() {
 0)   0.251 us    |                                    copy_from_kernel_nofault_allowed();
 0)   0.862 us    |                                  }
 0)   1.442 us    |                                }
 0)   2.014 us    |                              }
 0)               |                              prepend() {
 0)               |                                prepend_copy() {
 0)               |                                  copy_from_kernel_nofault() {
 0)   0.251 us    |                                    copy_from_kernel_nofault_allowed();
 0)   0.721 us    |                                  }
 0)   1.202 us    |                                }
 0)   1.673 us    |                              }
 0)   0.250 us    |                              rcu_read_unlock_strict();
 0)   0.240 us    |                              rcu_read_unlock_strict();
 0)   5.982 us    |                            }
 0)   6.563 us    |                          }
 0)   0.481 us    |                          our_mnt();
 0)   0.240 us    |                          our_mnt();
 0)   8.446 us    |                        }
 0)   9.047 us    |                      }
 0)   9.619 us    |                    }
 0)               |                    __aa_path_perm() {
 0)   0.931 us    |                      aa_dfa_match();
 0)               |                      aa_compute_fperms() {
 0)   0.240 us    |                        map_old_perms();
 0)   0.260 us    |                        map_old_perms();
 0)   0.240 us    |                        map_old_perms();
 0)   2.054 us    |                      }
 0)   0.261 us    |                      aa_audit_file();
 0)   4.839 us    |                    }
 0)   0.251 us    |                    aa_label_next_confined();
 0)               |                    aa_put_buffer() {
 0)   0.241 us    |                      _raw_spin_lock();
 0)   0.732 us    |                    }
 0) + 19.025 us   |                  }
 0) + 19.657 us   |                }
 0) + 21.360 us   |              }
 0)               |              from_kuid() {
 0)   0.270 us    |                map_id_up();
 0)   0.841 us    |              }
 0)               |              from_kgid() {
 0)   0.251 us    |                map_id_up();
 0)   0.731 us    |              }
 0)               |              inode_permission() {
 0)               |                ovl_permission [overlay]() {
 0)   0.250 us    |                  ovl_inode_upper [overlay]();
 0)   0.240 us    |                  ovl_inode_lower [overlay]();
 0)   0.241 us    |                  generic_permission();
 0)               |                  ovl_override_creds [overlay]() {
 0)   0.240 us    |                    override_creds();
 0)   0.711 us    |                  }
 0)               |                  inode_permission() {
 0)   0.250 us    |                    generic_permission();
 0)   0.250 us    |                    security_inode_permission();
 0)   1.192 us    |                  }
 0)   0.240 us    |                  revert_creds();
 0)   4.519 us    |                }
 0)   0.240 us    |                security_inode_permission();
 0)   5.500 us    |              }
 0)               |              security_inode_create() {
 0)               |                apparmor_inode_create() {
 0)               |                  __cond_resched() {
 0)   0.250 us    |                    rcu_all_qs();
 0)   0.711 us    |                  }
 0)   1.362 us    |                }
 0)   2.043 us    |              }
 0)               |              ovl_create [overlay]() {
 0)               |                ovl_create_object [overlay]() {
 0)               |                  ovl_want_write [overlay]() {
 0)               |                    mnt_want_write() {
 0)               |                      __cond_resched() {
 0)   0.240 us    |                        rcu_all_qs();
 0)   0.882 us    |                      }
 0)   4.217 us    |                      __mnt_want_write();
 0)   6.732 us    |                    }
 0)   7.414 us    |                  }
 0)               |                  ovl_new_inode [overlay]() {
 0)               |                    new_inode() {
 0)               |                      alloc_inode() {
 0)               |                        ovl_alloc_inode [overlay]() {
 0)               |                          kmem_cache_alloc() {
 0)               |                            __cond_resched() {
 0)   0.250 us    |                              rcu_all_qs();
 0)   0.732 us    |                            }
 0)   0.240 us    |                            should_failslab();
 0)   0.251 us    |                            rcu_read_unlock_strict();
 0)   0.240 us    |                            rcu_read_unlock_strict();
 0)   0.260 us    |                            obj_cgroup_charge();
 0)   0.241 us    |                            rcu_read_unlock_strict();
 0)   0.321 us    |                            mod_objcg_state();
 0)   0.241 us    |                            rcu_read_unlock_strict();
 0)   5.391 us    |                          }
 0)   0.241 us    |                          __mutex_init();
 0)   6.542 us    |                        }
 0)               |                        inode_init_always() {
 0)               |                          make_kuid() {
 0)   0.261 us    |                            map_id_range_down();
 0)   0.741 us    |                          }
 0)               |                          make_kgid() {
 0)   0.250 us    |                            map_id_range_down();
 0)   0.721 us    |                          }
 0)   0.280 us    |                          __init_rwsem();
 0)   0.241 us    |                          __init_rwsem();
 0)               |                          security_inode_alloc() {
 0)               |                            kmem_cache_alloc() {
 0)               |                              __cond_resched() {
 0)   0.321 us    |                                rcu_all_qs();
 0)   1.242 us    |                              }
 0)   0.311 us    |                              should_failslab();
 0)   3.306 us    |                            }
 0)   0.260 us    |                            apparmor_inode_alloc_security();
 0)   4.408 us    |                          }
 0)   8.205 us    |                        }
 0) + 15.900 us   |                      }
 0)   0.250 us    |                      _raw_spin_lock();
 0)   0.240 us    |                      _raw_spin_lock();
 0) + 17.372 us   |                    }
 0) + 17.984 us   |                  }
 0)   0.251 us    |                  _raw_spin_lock();
 0)   0.281 us    |                  inode_init_owner();
 0)               |                  ovl_create_or_link [overlay]() {
 0)               |                    ovl_copy_up [overlay]() {
 0)               |                      ovl_copy_up_flags [overlay]() {
 0)               |                        ovl_override_creds [overlay]() {
 0)   0.240 us    |                          override_creds();
 0)   0.712 us    |                        }
 0)   0.261 us    |                        ovl_already_copied_up [overlay]();
 0)               |                        dget_parent() {
 0)   0.251 us    |                          rcu_read_unlock_strict();
 0)   0.751 us    |                        }
 0)   0.241 us    |                        ovl_dentry_upper [overlay]();
 0)               |                        ovl_copy_up_one [overlay]() {
 0)   0.250 us    |                          ovl_workdir [overlay]();
 0)   0.341 us    |                          ovl_path_lower [overlay]();
 0)               |                          vfs_getattr() {
 0)               |                            security_inode_getattr() {
 0)               |                              apparmor_inode_getattr() {
 0)   0.501 us    |                                common_perm_cond();
 0)   1.222 us    |                              }
 0)               |                              apparmor_inode_getattr() {
 0)   0.250 us    |                                common_perm_cond();
 0)   0.732 us    |                              }
 0)   2.785 us    |                            }
 0)               |                            vfs_getattr_nosec() {
 0)               |                              ext4_getattr() {
 0)   0.351 us    |                                generic_fillattr();
 0)   0.982 us    |                              }
 0)   1.703 us    |                            }
 0)   5.320 us    |                          }
 0)               |                          from_kuid() {
 0)   0.250 us    |                            map_id_up();
 0)   0.731 us    |                          }
 0)               |                          from_kgid() {
 0)   0.240 us    |                            map_id_up();
 0)   0.711 us    |                          }
 0)   0.251 us    |                          ovl_path_upper [overlay]();
 0)               |                          vfs_getattr() {
 0)               |                            security_inode_getattr() {
 0)               |                              apparmor_inode_getattr() {
 0)   0.260 us    |                                common_perm_cond();
 0)   1.393 us    |                              }
 0)               |                              apparmor_inode_getattr() {
 0)   0.250 us    |                                common_perm_cond();
 0)   0.721 us    |                              }
 0)   2.905 us    |                            }
 0)               |                            vfs_getattr_nosec() {
 0)               |                              ext4_getattr() {
 0)   0.270 us    |                                generic_fillattr();
 0)   0.831 us    |                              }
 0)   1.333 us    |                            }
 0)   4.929 us    |                          }
 0)               |                          ovl_copy_up_start [overlay]() {
 0)               |                            mutex_lock_interruptible() {
 0)               |                              __cond_resched() {
 0)   0.240 us    |                                rcu_all_qs();
 0)   0.732 us    |                              }
 0)   1.203 us    |                            }
 0)   1.693 us    |                          }
 0)   0.251 us    |                          ovl_dentry_upper [overlay]();
 0)               |                          ovl_do_copy_up [overlay]() {
 0)   0.271 us    |                            ovl_need_index [overlay]();
 0)               |                            ovl_set_impure [overlay]() {
 0)               |                              ovl_check_setxattr [overlay]() {
 0)               |                                down_write() {
 0)               |                                  __cond_resched() {
 0)   0.250 us    |                                    rcu_all_qs();
 0)   0.711 us    |                                  }
 0)   1.192 us    |                                }
 0)               |                                __vfs_setxattr_noperm() {
 0)               |                                  __vfs_setxattr() {
 0)   0.731 us    |                                    xattr_resolve_name();
 0)               |                                    ext4_xattr_trusted_set() {
 0)               |                                      ext4_xattr_set() {
 0)               |                                        dquot_initialize() {
 0)   0.361 us    |                                          __dquot_initialize();
 0)   0.942 us    |                                        }
 0)               |                                        ext4_xattr_set_credits() {
 0)               |                                          down_read() {
 0)               |                                            __cond_resched() {
 0)   0.250 us    |                                              rcu_all_qs();
 0)   0.732 us    |                                            }
 0)   1.292 us    |                                          }
 0)   0.261 us    |                                          ext4_xattr_get_block();
 0)   0.611 us    |                                          __ext4_xattr_set_credits();
 0)   0.241 us    |                                          up_read();
 0)   3.998 us    |                                        }
 0)               |                                        __ext4_journal_start_sb() {
 0)               |                                          ext4_journal_check_start() {
 0)               |                                            __cond_resched() {
 0)   0.241 us    |                                              rcu_all_qs();
 0)   0.731 us    |                                            }
 0)   1.523 us    |                                          }
 0)               |                                          jbd2__journal_start() {
 0)               |                                            kmem_cache_alloc() {
 0)               |                                              __cond_resched() {
 0)   4.087 us    |                                                rcu_all_qs();
 0)   4.619 us    |                                              }
 0)   0.260 us    |                                              should_failslab();
 0)   6.112 us    |                                            }
 0)               |                                            start_this_handle() {
 0)   0.250 us    |                                              _raw_read_lock();
 0)   0.360 us    |                                              add_transaction_credits();
 0)   1.463 us    |                                            }
 0)   8.516 us    |                                          }
 0) + 11.121 us   |                                        }
 0)               |                                        ext4_xattr_set_handle() {
 0)               |                                          down_write() {
 0)               |                                            __cond_resched() {
 0)   0.240 us    |                                              rcu_all_qs();
 0)   0.721 us    |                                            }
 0)   1.192 us    |                                          }
 0)   0.250 us    |                                          ext4_xattr_get_block();
 0)   0.250 us    |                                          __ext4_xattr_set_credits();
 0)               |                                          ext4_reserve_inode_write() {
 0)               |                                            ext4_get_inode_loc() {
 0)               |                                              __ext4_get_inode_loc() {
 0)               |                                                ext4_get_group_desc() {
 0)   0.231 us    |                                                  rcu_read_unlock_strict();
 0)   1.022 us    |                                                }
 0)   0.461 us    |                                                ext4_inode_table();
 0)               |                                                __getblk_gfp() {
 0)               |                                                  __find_get_block() {
 0)               |                                                    __find_get_block_slow() {
 0)               |                                                      pagecache_get_page() {
 0)   0.381 us    |                                                        rcu_read_unlock_strict();
 0)   0.370 us    |                                                        mark_page_accessed();
 0)   0.330 us    |                                                        PageHuge();
 0)   3.937 us    |                                                      }
 0)   0.250 us    |                                                      _raw_spin_lock();
 0)   5.240 us    |                                                    }
 0)   6.653 us    |                                                  }
 0)               |                                                  __cond_resched() {
 0)   0.241 us    |                                                    rcu_all_qs();
 0)   0.711 us    |                                                  }
 0)   8.366 us    |                                                }
 0) + 11.993 us   |                                              }
 0) + 12.664 us   |                                            }
 0)               |                                            __ext4_journal_get_write_access() {
 0)               |                                              __cond_resched() {
 0)   0.241 us    |                                                rcu_all_qs();
 0)   0.711 us    |                                              }
 0)               |                                              jbd2_journal_get_write_access() {
 0)               |                                                jbd2_write_access_granted.part.0() {
 0)   0.241 us    |                                                  rcu_read_unlock_strict();
 0)   0.731 us    |                                                }
 0)               |                                                jbd2_journal_add_journal_head() {
 0)               |                                                  kmem_cache_alloc() {
 0)               |                                                    __cond_resched() {
 0)   0.240 us    |                                                      rcu_all_qs();
 0)   0.711 us    |                                                    }
 0)   0.241 us    |                                                    should_failslab();
 0)   2.234 us    |                                                  }
 0)   2.755 us    |                                                }
 0)               |                                                do_get_write_access() {
 0)               |                                                  __cond_resched() {
 0)   0.240 us    |                                                    rcu_all_qs();
 0)   0.711 us    |                                                  }
 0)   0.240 us    |                                                  _raw_spin_lock();
 0)   0.250 us    |                                                  _raw_spin_lock();
 0)               |                                                  __jbd2_journal_file_buffer() {
 0)   0.250 us    |                                                    jbd2_journal_grab_journal_head();
 0)   0.882 us    |                                                  }
 0)               |                                                  unlock_buffer() {
 0)   0.360 us    |                                                    wake_up_bit();
 0)   0.942 us    |                                                  }
 0)   0.260 us    |                                                  jbd2_journal_cancel_revoke();
 0)   5.319 us    |                                                }
 0)   0.250 us    |                                                jbd2_journal_put_journal_head();
 0) + 10.680 us   |                                              }
 0) + 12.263 us   |                                            }
 0) + 25.759 us   |                                          }
 0)   0.271 us    |                                          ext4_xattr_ibody_find();
 0)   0.241 us    |                                          ext4_xattr_block_find();
 0)               |                                          ext4_xattr_ibody_set() {
 0)               |                                            ext4_xattr_set_entry() {
 0)   0.261 us    |                                              iput();
 0)   0.240 us    |                                              iput();
 0)   2.014 us    |                                            }
 0)   2.605 us    |                                          }
 0)               |                                          current_time() {
 0)   0.251 us    |                                            ktime_get_coarse_real_ts64();
 0)   0.741 us    |                                          }
 0)               |                                          ext4_mark_iloc_dirty() {
 0)   0.250 us    |                                            ext4_fc_track_inode();
 0)               |                                            ext4_do_update_inode.isra.0() {
 0)   0.240 us    |                                              _raw_spin_lock();
 0)               |                                              from_kuid() {
 0)   0.261 us    |                                                map_id_up();
 0)   0.731 us    |                                              }
 0)               |                                              from_kgid() {
 0)   0.240 us    |                                                map_id_up();
 0)   0.711 us    |                                              }
 0)               |                                              from_kprojid() {
 0)   0.340 us    |                                                map_id_up();
 0)   0.811 us    |                                              }
 0)               |                                              ext4_inode_csum_set() {
 0)               |                                                ext4_inode_csum() {
 0)               |                                                  crypto_shash_update() {
 0)   0.290 us    |                                                    crc32c_pcl_intel_update();
 0)   1.001 us    |                                                  }
 0)               |                                                  crypto_shash_update() {
 0)   0.250 us    |                                                    crc32c_pcl_intel_update();
 0)   0.731 us    |                                                  }
 0)               |                                                  crypto_shash_update() {
 0)   0.251 us    |                                                    crc32c_pcl_intel_update();
 0)   0.721 us    |                                                  }
 0)               |                                                  crypto_shash_update() {
 0)   0.251 us    |                                                    crc32c_pcl_intel_update();
 0)   0.721 us    |                                                  }
 0)               |                                                  crypto_shash_update() {
 0)   0.250 us    |                                                    crc32c_pcl_intel_update();
 0)   0.722 us    |                                                  }
 0)               |                                                  crypto_shash_update() {
 0)   0.290 us    |                                                    crc32c_pcl_intel_update();
 0)   0.771 us    |                                                  }
 0)   6.582 us    |                                                }
 0)   7.173 us    |                                              }
 0)               |                                              __ext4_handle_dirty_metadata() {
 0)               |                                                __cond_resched() {
 0)   0.250 us    |                                                  rcu_all_qs();
 0)   0.722 us    |                                                }
 0)               |                                                jbd2_journal_dirty_metadata() {
 0)   0.240 us    |                                                  _raw_spin_lock();
 0)   0.250 us    |                                                  _raw_spin_lock();
 0)               |                                                  __jbd2_journal_file_buffer() {
 0)   0.270 us    |                                                    __jbd2_journal_temp_unlink_buffer();
 0)   1.062 us    |                                                  }
 0)   2.836 us    |                                                }
 0)   4.278 us    |                                              }
 0)   0.240 us    |                                              __brelse();
 0) + 16.671 us   |                                            }
 0) + 17.843 us   |                                          }
 0)   0.261 us    |                                          ext4_fc_mark_ineligible();
 0)   0.240 us    |                                          up_write();
 0) + 52.739 us   |                                        }
 0)               |                                        __ext4_journal_stop() {
 0)               |                                          jbd2_journal_stop() {
 0)               |                                            stop_this_handle() {
 0)               |                                              __wake_up() {
 0)               |                                                __wake_up_common_lock() {
 0)   0.251 us    |                                                  _raw_spin_lock_irqsave();
 0)   0.271 us    |                                                  __wake_up_common();
 0)   0.261 us    |                                                  _raw_spin_unlock_irqrestore();
 0)   1.773 us    |                                                }
 0)   2.265 us    |                                              }
 0)   2.775 us    |                                            }
 0)   0.391 us    |                                            kmem_cache_free();
 0)   4.118 us    |                                          }
 0)   8.596 us    |                                        }
 0)   0.261 us    |                                        ext4_fc_mark_ineligible();
 0) + 79.659 us   |                                      }
 0) + 80.251 us   |                                    }
 0) + 81.933 us   |                                  }
 0)   0.541 us    |                                  fsnotify();
 0)               |                                  security_inode_post_setxattr() {
 0)               |                                    evm_inode_post_setxattr() {
 0)   0.390 us    |                                      evm_revalidate_status();
 0)   0.982 us    |                                    }
 0)   1.563 us    |                                  }
 0) + 85.541 us   |                                }
 0)   0.241 us    |                                up_write();
 0) + 88.126 us   |                              }
 0) + 88.626 us   |                            }
 0)               |                            ovl_copy_up_workdir [overlay]() {
 0)               |                              lock_rename() {
 0)               |                                mutex_lock() {
 0)               |                                  __cond_resched() {
 0)   0.251 us    |                                    rcu_all_qs();
 0)   0.721 us    |                                  }
 0)   1.202 us    |                                }
 0)               |                                lock_two_directories() {
 0)   0.981 us    |                                  d_ancestor();
 0)   0.611 us    |                                  d_ancestor();
 0)               |                                  down_write() {
 0)               |                                    __cond_resched() {
 0)   0.331 us    |                                      rcu_all_qs();
 0)   0.952 us    |                                    }
 0)   1.623 us    |                                  }
 0)               |                                  down_write() {
 0)               |                                    __cond_resched() {
 0)   0.240 us    |                                      rcu_all_qs();
 0)   0.722 us    |                                    }
 0)   1.292 us    |                                  }
 0)   5.831 us    |                                }
 0)   7.744 us    |                              }
 0)   0.270 us    |                              security_inode_copy_up();
 0)               |                              ovl_create_temp [overlay]() {
 0)               |                                ovl_lookup_temp [overlay]() {
 0)               |                                  lookup_one_len() {
 0)               |                                    lookup_one_common() {
 0)   0.260 us    |                                      full_name_hash();
 0)               |                                      inode_permission() {
 0)               |                                        generic_permission() {
 0)               |                                          capable_wrt_inode_uidgid() {
 0)               |                                            security_capable() {
 0)   0.250 us    |                                              cap_capable();
 0)   0.260 us    |                                              apparmor_capable();
 0)   1.674 us    |                                            }
 0)               |                                            privileged_wrt_inode_uidgid() {
 0)               |                                              from_kuid() {
 0)   0.251 us    |                                                map_id_up();
 0)   0.721 us    |                                              }
 0)               |                                              from_kgid() {
 0)   0.250 us    |                                                map_id_up();
 0)   0.722 us    |                                              }
 0)   2.174 us    |                                            }
 0)   4.669 us    |                                          }
 0)   5.270 us    |                                        }
 0)   0.240 us    |                                        security_inode_permission();
 0)   6.302 us    |                                      }
 0)   7.324 us    |                                    }
 0)               |                                    lookup_dcache() {
 0)               |                                      d_lookup() {
 0)               |                                        __d_lookup() {
 0)   0.241 us    |                                          rcu_read_unlock_strict();
 0)   0.832 us    |                                        }
 0)   1.312 us    |                                      }
 0)   2.094 us    |                                    }
 0)               |                                    __lookup_slow() {
 0)               |                                      d_alloc_parallel() {
 0)               |                                        d_alloc() {
 0)               |                                          __d_alloc() {
 0)               |                                            kmem_cache_alloc() {
 0)               |                                              __cond_resched() {
 0)   0.241 us    |                                                rcu_all_qs();
 0)   0.711 us    |                                              }
 0)   0.241 us    |                                              should_failslab();
 0)   0.250 us    |                                              rcu_read_unlock_strict();
 0)   0.251 us    |                                              rcu_read_unlock_strict();
 0)   0.251 us    |                                              obj_cgroup_charge();
 0)   0.250 us    |                                              rcu_read_unlock_strict();
 0)   0.310 us    |                                              mod_objcg_state();
 0)   0.240 us    |                                              rcu_read_unlock_strict();
 0)   5.090 us    |                                            }
 0)   0.260 us    |                                            d_set_d_op();
 0)   6.201 us    |                                          }
 0)   0.250 us    |                                          _raw_spin_lock();
 0)   7.284 us    |                                        }
 0)   0.281 us    |                                        __d_lookup_rcu();
 0)   0.241 us    |                                        rcu_read_unlock_strict();
 0)   9.067 us    |                                      }
 0)               |                                      ext4_lookup() {
 0)               |                                        ext4_lookup.part.0() {
 0)   0.260 us    |                                          ext4_fname_setup_ci_filename();
 0)   0.260 us    |                                          generic_set_encrypted_ci_d_ops();
 0)               |                                          __ext4_find_entry() {
 0)               |                                            __cond_resched() {
 0)   0.251 us    |                                              rcu_all_qs();
 0)   0.721 us    |                                            }
 0)               |                                            ext4_bread_batch() {
 0)               |                                              ext4_getblk() {
 0)               |                                                ext4_map_blocks() {
 0)               |                                                  ext4_es_lookup_extent() {
 0)   0.241 us    |                                                    _raw_read_lock();
 0)   0.961 us    |                                                  }
 0)               |                                                  __check_block_validity.constprop.0() {
 0)               |                                                    ext4_inode_block_valid() {
 0)               |                                                      ext4_sb_block_valid() {
 0)   0.250 us    |                                                        rcu_read_unlock_strict();
 0)   1.462 us    |                                                      }
 0)   2.054 us    |                                                    }
 0)   2.635 us    |                                                  }
 0)   4.559 us    |                                                }
 0)               |                                                __getblk_gfp() {
 0)               |                                                  __find_get_block() {
 0)               |                                                    __find_get_block_slow() {
 0)               |                                                      pagecache_get_page() {
 0)   0.241 us    |                                                        rcu_read_unlock_strict();
 0)   0.251 us    |                                                        mark_page_accessed();
 0)   0.240 us    |                                                        PageHuge();
